Cell10,Cell10bake1,Cell10bake2,Cell10bake3,Cell11,Cell12,Cell12bake1,Cell13,Cell13bake1,Cell13bake2,Cell14,Cell14bake1,Cell15,Cell15bake1,Cell16,Cell16bake1,Cell17,Cell17bake1
229.7794118,229.7794118,392.1568627,0,229.7794118,104.4932079,104.4932079,264,264,365,130.2083333,130.2083333,161.5769914,295.5082742,151.9064256,151.9064256,267.8093198,261.6431188
230,230,284.6569883,0,228.3105023,317.2588832,317.2588832,216,216,380,177.3049645,177.3049645,153.3272002,258.3979328,128.3038235,128.3038235,261.7801047,267.4511902
0,0,0,108.4245907,232.5581395,255,255,236,236,361,254.517689,254.517689,274.7252747,286.9440459,175.2234098,175.2234098,347.2222222,260.960334
0,0,0,120.7729469,221.0921954,168.3501684,168.3501684,-,-,235,0,0,261.0966057,0,220,220,273.2240437,0
392.1568627,392.1568627,108.4245907,357.1428571,226.7059624,177.3993259,177.3993259,182,182,233,348.7966516,348.7966516,295.5082742,392,236,236,268.6727566,282.4858757
284.6569883,284.6569883,120.7729469,391.5426782,243.3090024,403.2258065,403.2258065,365,365,336,393.7007874,393.7007874,258.3979328,,277.8549597,277.8549597,261.6431188,
108.4245907,,,284.5759818,273.000273,396.8253968,396.8253968,380,380,386,378.7878788,378.7878788,286.9440459,,441.5011038,441.5011038,267.4511902,
120.7729469,,,294.9852507,292.0560748,453.1037608,453.1037608,361,361,389.7116134,405.0222762,405.0222762,,,386.1003861,386.1003861,260.960334,
357.1428571,,,,,294.1176471,294.1176471,235,235,,371.3330858,371.3330858,,,375.2345216,375.2345216,,
391.5426782,,,,,288.6836028,288.6836028,233,,,425.5319149,425.5319149,,,257.9313903,257.9313903,,
284.5759818,,,,,307.8817734,307.8817734,336,,,325.9452412,325.9452412,,,,,,
294.9852507,,,,,299.7601918,299.7601918,386,,,375.2345216,375.2345216,,,,,,
,,,,,,,389.7116134,,,,,,,,,,